,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196703,"	1","	11","	7","	9","	121","	3","	13","	0","	2","	14","	6","	0","	1","	5","	20","	5","	5","	30","	9","	9","	18","	3","	55","	13","	13","	7","	4","	6","	0","	0","	1","	21","	43","	0","	66","	22","	4","	36","	31","	7","	0","	0","	21","	51","	8","	4","	0","	17","	13","	11","	0","	"
196704,"	0","	8","	8","	6","	96","	3","	12","	0","	5","	8","	9","	1","	4","	3","	16","	21","	1","	14","	5","	16","	24","	5","	63","	13","	0","	12","	1","	5","	1","	1","	1","	21","	26","	0","	90","	30","	7","	45","	28","	3","	5","	1","	25","	69","	3","	14","	0","	16","	18","	15","	6","	"
196705,"	0","	7","	1","	7","	134","	0","	6","	1","	2","	2","	67","	4","	12","	9","	23","	10","	11","	41","	10","	27","	32","	8","	58","	6","	35","	5","	2","	6","	0","	1","	4","	20","	9","	0","	71","	24","	5","	23","	14","	1","	1","	0","	21","	53","	1","	7","	1","	26","	15","	10","	2","	"
196706,"	2","	10","	5","	0","	135","	11","	5","	0","	3","	8","	12","	1","	14","	5","	27","	25","	8","	16","	10","	21","	28","	0","	54","	4","	26","	4","	0","	7","	1","	1","	4","	8","	3","	0","	60","	34","	9","	35","	33","	4","	4","	0","	33","	47","	2","	17","	0","	23","	24","	7","	0","	"
196707,"	1","	11","	15","	11","	133","	13","	17","	1","	3","	16","	16","	1","	6","	8","	50","	13","	3","	39","	5","	19","	33","	3","	44","	8","	17","	14","	4","	14","	1","	0","	0","	29","	12","	2","	53","	25","	3","	22","	24","	4","	0","	0","	20","	93","	10","	25","	1","	7","	10","	5","	2","	"
196708,"	0","	4","	6","	7","	103","	5","	16","	0","	1","	12","	19","	0","	12","	14","	30","	9","	2","	27","	8","	20","	20","	4","	34","	10","	56","	10","	0","	19","	0","	1","	0","	9","	14","	0","	62","	26","	12","	15","	30","	0","	2","	2","	19","	59","	4","	10","	0","	35","	12","	11","	3","	"
196709,"	0","	6","	8","	5","	156","	3","	4","	1","	2","	14","	7","	1","	8","	6","	25","	28","	0","	40","	12","	20","	20","	3","	44","	8","	42","	7","	1","	11","	0","	0","	0","	26","	2","	0","	72","	17","	11","	35","	49","	2","	2","	1","	17","	59","	8","	7","	2","	18","	12","	0","	1","	"
196710,"	1","	3","	1","	15","	145","	7","	6","	1","	4","	15","	29","	0","	17","	4","	53","	9","	0","	28","	8","	16","	17","	3","	27","	15","	15","	4","	4","	7","	0","	1","	1","	19","	23","	8","	87","	34","	5","	28","	24","	3","	1","	0","	18","	102","	0","	12","	0","	22","	6","	8","	2","	"
196711,"	0","	5","	3","	6","	134","	1","	11","	0","	0","	15","	20","	0","	16","	7","	52","	10","	7","	11","	17","	9","	25","	3","	36","	6","	52","	7","	3","	10","	0","	4","	1","	22","	8","	1","	76","	43","	3","	13","	36","	9","	3","	0","	11","	49","	6","	17","	0","	12","	19","	13","	2","	"
196712,"	2","	5","	0","	0","	140","	7","	4","	1","	3","	6","	9","	0","	0","	1","	29","	22","	2","	28","	7","	27","	15","	5","	49","	11","	63","	20","	6","	7","	2","	0","	1","	103","	11","	0","	80","	21","	3","	16","	37","	0","	1","	0","	21","	58","	6","	19","	1","	12","	18","	9","	8","	"
